"","Year","Region","Region_alt","Region_type","Strata_included","Strata_excluded","Index","Index_q_0.025","Index_q_0.05","Index_q_0.25","Index_q_0.75","Index_q_0.95","Index_q_0.975","obs_mean","nrts","nnzero","nrts_total","backcast_flag","scale","model","species"
"32",1997,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0864371424866607,0.0224091448107698,0.02852042459778,0.0560090567926751,0.133457477565845,0.245550896831047,0.30488762567394,0,2,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"33",1998,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0701139780603633,0.0190440860314588,0.0234123052077196,0.0454722360116221,0.107433273793361,0.195709209946361,0.239696759387976,0,3,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"34",1999,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0608169236253704,0.0166937031176241,0.020885038534068,0.039535673530805,0.0932605818500807,0.170304059828948,0.213995075610225,0,1,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"35",2000,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0575876625810026,0.0157758228702176,0.0200160751157099,0.0380014366392684,0.0885182827061896,0.162068286822703,0.19886436905898,0,1,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"36",2001,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.0745755305744853,0.0211473291461119,0.0262634692800027,0.0486879986935111,0.113728255493137,0.206851462285264,0.254451433980279,0,2,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"37",2002,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.108822778029085,0.0330575174451702,0.0405686873461039,0.0727663412404619,0.163256935690388,0.288527642422946,0.350381395409092,0,3,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"38",2003,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.111699994436693,0.0344723190828862,0.0416858889139192,0.0751463623433843,0.165945352147299,0.284667890991725,0.351022650868134,0,3,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"39",2004,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.156776214788107,0.0511895628797501,0.0602889603333067,0.106476819381936,0.229253173833016,0.399579990564787,0.48087482520342,0,3,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"40",2005,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.180907865393605,0.0610394593867505,0.0713068106319074,0.123378007954191,0.262423828213901,0.455469347282384,0.536013182985112,0,3,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"41",2006,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.203278991961846,0.0679924009101097,0.0821243029889017,0.140490384718876,0.293255668911749,0.50605586988346,0.607486936524157,0,3,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"42",2007,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.223247654169413,0.07637894191693,0.0921048503771611,0.156898234534777,0.32434903108515,0.557341758915509,0.66413504657144,0,3,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"43",2008,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.261462078503214,0.0938378856496429,0.112619558777192,0.183999816997782,0.373448082372351,0.640780641808209,0.770602137521399,0,1,0,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"44",2009,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.282797448961716,0.103876507855331,0.122003751519249,0.200852182816643,0.399701769374162,0.668416429761362,0.796509533017406,0.49632817489314,3,2,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
"45",2010,"BCR6","BCR_BCR6","bcr","51_-100 ; 51_-97 ; 52_-100","",0.241804925066514,0.0914469317250136,0.106375764110747,0.171886833440486,0.337832524721797,0.573433054029128,0.697666478881739,0.328437566524042,3,1,3,1,"BCR","first_difference_Spatial","Golden-winged Warbler"
